date,time|cst,stage|meters,discharge|cms,preciptation|amm
08/11/2022,19:45,0.403,0.95,62.74
08/11/2022,19:30,0.403,0.95,62.74
08/11/2022,19:15,0.403,0.95,62.74
08/11/2022,19:00,0.403,0.95,62.74
08/11/2022,18:45,0.403,0.96,62.74
08/11/2022,18:30,0.404,0.96,62.74
08/11/2022,18:15,0.404,0.96,62.74
08/11/2022,18:00,0.404,0.97,62.74
08/11/2022,17:45,0.404,0.97,62.74
08/11/2022,17:30,0.404,0.97,62.74
08/11/2022,17:15,0.404,0.97,62.74
08/11/2022,17:00,0.404,0.97,62.74
08/11/2022,16:45,0.404,0.97,62.74
08/11/2022,16:30,0.404,0.97,62.74
08/11/2022,16:15,0.404,0.97,62.74
08/11/2022,16:00,0.404,0.97,62.74
08/11/2022,15:45,0.404,0.97,62.74
08/11/2022,15:30,0.404,0.97,62.74
08/11/2022,15:15,0.404,0.97,62.74
